### Consolidated Categorical Variable Analysis ###
========================================================================================================================


### Job Summary ###


| Job           |    no |   yes |   Total |   % no |   % yes |   % Total |
| jul     |  6521 |   648 |    7169 |  90.96 |    9.04 |       100 |
| jun     |  4759 |   559 |    5318 |  89.49 |   10.51 |       100 |
| mar     |   270 |   276 |     546 |  49.45 |   50.55 |       100 |
| may     | 12881 |   886 |   13767 |  93.56 |    6.44 |       100 |
| nov     |  3684 |   416 |    4100 |  89.85 |   10.15 |       100 |
| oct     |   402 |   315 |     717 |  56.07 |   43.93 |       100 |
| sep     |   314 |   256 |     570 |  55.09 |   44.91 |       100 |
| Total   | 36537 |  4639 |   41176 |  88.73 |   11.27 |       100 |


### Day_of_week Summary ###


| Day_of_week   |    no |   yes |   Total |   % no |   % yes |   % Total |
|:--------------|------:|------:|--------:|-------:|--------:|----------:|
| fri           |  6980 |   846 |    7826 |  89.19 |   10.81 |       100 |
| mon           |  7665 |   847 |    8512 |  90.05 |    9.95 |       100 |
| thu           |  7574 |  1044 |    8618 |  87.89 |   12.11 |       100 |
| tue           |  7133 |   953 |    8086 |  88.21 |   11.79 |       100 |
| wed           |  7185 |   949 |    8134 |  88.33 |   11.67 |       100 |
| Total         | 36537 |  4639 |   41176 |  88.73 |   11.27 |       100 |


### Poutcome Summary ###


| Poutcome    |    no |   yes |   Total |   % no |   % yes |   % Total |
|:------------|------:|------:|--------:|-------:|--------:|----------:|
| failure     |  3647 |   605 |    4252 |  85.77 |   14.23 |       100 |
| nonexistent | 32411 |  3140 |   35551 |  91.17 |    8.83 |       100 |
| success     |   479 |   894 |    1373 |  34.89 |   65.11 |       100 |
| Total       | 36537 |  4639 |   41176 |  88.73 |   11.27 |       100 |
