Numerical Variable Analysis Report
========================================================================================================================


### Analysis for 'age' by y ###
| Statistic          |      Overall |        y: no |      y: yes |
| 25%                |   -42.7      |   -42.7      |  -46.2      |
| 50%                |   -41.8      |   -41.8      |  -40.4      |
| 75%                |   -36.4      |   -36.4      |  -36.1      |
| Max                |   -26.9      |   -26.9      |  -26.9      |
| Mode               |   -36.4      |   -36.4      |  -46.2      |
| Range              |    23.9      |    23.9      |   23.9      |
| IQR                |     6.3      |     6.3      |   10.1      |
| Variance           |    21.4171   |    19.2788   |   37.6954   |
| Skewness           |     0.302876 |     0.249823 |    0.26042  |
| Kurtosis           |    -0.359097 |    -0.480578 |   -0.786529 |


### Analysis for 'euribor3m' by y ###
| Statistic          |      Overall |       y: no |      y: yes |
|--------------------|--------------|-------------|-------------|
| Count              | 41176        | 36537       | 4639        |
| Mean               |     3.62129  |     3.81148 |    2.12336  |
| Trimmed Mean (IQR) |     3.62129  |     3.81148 |    2.12336  |
| MAD                |     1.60796  |     1.45007 |    1.55652  |
| Std                |     1.73444  |     1.63818 |    1.74272  |
| Min                |     0.634    |     0.634   |    0.634    |
| 25%                |     1.344    |     1.405   |    0.849    |
| 50%                |     4.857    |     4.857   |    1.266    |
| 75%                |     4.961    |     4.962   |    4.406    |
| Max                |     5.045    |     5.045   |    5.045    |
| Mode               |     4.857    |     4.857   |    4.962    |
| Range              |     4.411    |     4.411   |    4.411    |
| IQR                |     3.617    |     3.557   |    3.557    |
| Variance           |     3.00827  |     2.68363 |    3.03706  |
| Skewness           |    -0.709194 |    -0.9433  |    0.890448 |
| Kurtosis           |    -1.40679  |    -1.00922 |   -1.08956  |


### Analysis for 'nr.employed' by y ###
| Statistic          |        Overall |        y: no |      y: yes |
|--------------------|----------------|--------------|-------------|
| Count              | 41176          | 36537        | 4639        |
| Mean               |  5167.03       |  5176.17     | 5095.12     |
| Trimmed Mean (IQR) |  5167.03       |  5176.17     | 5095.12     |
| MAD                |    62.3173     |    53.4876   |   71.5485   |
| Std                |    72.2514     |    64.5703   |   87.5816   |
| Min                |  4963.6        |  4963.6      | 4963.6      |
| 25%                |  5099.1        |  5099.1      | 5017.5      |
| 50%                |  5191          |  5195.8      | 5099.1      |
| 75%                |  5228.1        |  5228.1      | 5191        |
| Max                |  5228.1        |  5228.1      | 5228.1      |
| Mode               |  5228.1        |  5228.1      | 5099.1      |
| Range              |   264.5        |   264.5      |  264.5      |
| IQR                |   129          |   129        |  173.5      |
| Variance           |  5220.26       |  4169.32     | 7670.54     |
| Skewness           |    -1.04432    |    -1.20828  |    0.278286 |
| Kurtosis           |    -0.00353967 |     0.543162 |   -1.20119  |

